Date,Location,Rank,Score,Corps
7/2/18,"Mesa, AZ",4th,66.55,Troopers
7/3/18,"Cedarburg, WI",1st,78.3,The Cavaliers
7/3/18,"Cedarburg, WI",2nd,72.4,Phantom Regiment
7/3/18,"Cedarburg, WI",3rd,72,Crossmen
7/3/18,"Cedarburg, WI",4th,67.9,Madison Scouts
7/3/18,"Cranston, RI",1st,80.9,Bluecoats
7/3/18,"Cranston, RI",2nd,79.3,Boston Crusaders
7/3/18,"Cranston, RI",3rd,77.1,The Cadets
7/3/18,"Cranston, RI",4th,69.8,Spirit of Atlanta
7/5/18,"Clifton, NJ",1st,81.65,Bluecoats
7/5/18,"Clifton, NJ",2nd,80.4,Carolina Crown
7/5/18,"Clifton, NJ",3rd,79,Boston Crusaders
7/5/18,"Clifton, NJ",4th,76.7,The Cadets
7/5/18,"Clifton, NJ",5th,70.55,Spirit of Atlanta
7/5/18,"Clifton, NJ",6th,60.9,Music City
7/5/18,"Wausau, WI",1st,73.7,Blue Stars
7/5/18,"Wausau, WI",2nd,73.15,Phantom Regiment
7/5/18,"Wausau, WI",3rd,70,Colts
7/5/18,"Wausau, WI",4th,69.25,Madison Scouts
7/5/18,"Wausau, WI",5th,62.75,Genesis
7/6/18,"Rockford, IL",1st,80.5,The Cavaliers
7/6/18,"Rockford, IL",2nd,75.5,Phantom Regiment
7/6/18,"Rockford, IL",3rd,73.95,Crossmen
7/6/18,"Rockford, IL",4th,71.9,Colts
7/6/18,"Rockford, IL",5th,70.7,Madison Scouts
7/6/18,"Sacramento, CA",1st,74.1,Mandarins
7/6/18,"Vancouver, WA",1st,80.9,Santa Clara Vanguard
7/6/18,"Vancouver, WA",2nd,74.05,Blue Knights
7/6/18,"Vancouver, WA",3rd,71,The Academy
7/6/18,"Vancouver, WA",4th,68.05,Troopers
7/6/18,"Vancouver, WA",6th,65,Pacific Crest
7/6/18,"Vancouver, WA",7th,61.35,Seattle Cascades
7/7/18,"Lexington, SC",1st,82.7,Bluecoats
7/7/18,"Lexington, SC",2nd,81.35,Carolina Crown
7/7/18,"Lexington, SC",3rd,80.9,Boston Crusaders
7/7/18,"Lexington, SC",4th,77.4,The Cadets
7/7/18,"Lexington, SC",5th,71.4,Spirit of Atlanta
7/7/18,"Lexington, SC",6th,61.85,Music City
7/7/18,"Lexington, SC",7th,57.05,Jersey Surf
7/7/18,"Minneapolis, MN",1st,81.7,Blue Devils
7/7/18,"Minneapolis, MN",2nd,80.1,The Cavaliers
7/7/18,"Minneapolis, MN",3rd,75.25,Phantom Regiment
7/7/18,"Minneapolis, MN",4th,74.6,Blue Stars
7/7/18,"Minneapolis, MN",5th,73.5,Crossmen
7/7/18,"Minneapolis, MN",6th,71.3,Colts
7/7/18,"Minneapolis, MN",7th,71.25,Madison Scouts
7/7/18,"Minneapolis, MN",8th,63.3,Genesis
7/7/18,"Renton, WA",1st,82.7,Santa Clara Vanguard
7/7/18,"Renton, WA",2nd,75.6,Blue Knights
7/7/18,"Renton, WA",3rd,73.15,The Academy
7/7/18,"Renton, WA",4th,70.05,Troopers
7/7/18,"Renton, WA",5th,65.7,Pacific Crest
7/7/18,"Renton, WA",7th,60.75,Seattle Cascades
7/8/18,"Orlando, FL",1st,83.85,Bluecoats
7/8/18,"Orlando, FL",2nd,82.1,Boston Crusaders
7/8/18,"Orlando, FL",2nd,82.1,Carolina Crown
7/8/18,"Orlando, FL",4th,78.55,The Cadets
7/8/18,"Orlando, FL",5th,71.85,Spirit of Atlanta
7/8/18,"Orlando, FL",6th,63.15,Music City
7/8/18,"Orlando, FL",7th,56.8,Jersey Surf
7/8/18,"Rochester, MN",1st,76.15,Blue Stars
7/8/18,"Rochester, MN",2nd,75.95,Crossmen
7/8/18,"Rochester, MN",3rd,73.4,Colts
7/8/18,"Rochester, MN",4th,65.2,Genesis
7/8/18,"Waukesha, WI",1st,82.9,Blue Devils
7/8/18,"Waukesha, WI",2nd,76.65,Phantom Regiment
7/8/18,"Waukesha, WI",3rd,73.3,Madison Scouts
7/9/18,"Tri Cities, WA",1st,84.5,Santa Clara Vanguard
7/9/18,"Tri Cities, WA",2nd,77.4,Blue Knights
7/9/18,"Tri Cities, WA",3rd,74.1,The Academy
7/9/18,"Tri Cities, WA",4th,71.2,Troopers
7/9/18,"Tri Cities, WA",5th,66.4,Pacific Crest
7/9/18,"Tri Cities, WA",7th,62,Seattle Cascades
7/10/18,"Boise, ID",1st,84.4,Santa Clara Vanguard
7/10/18,"Boise, ID",2nd,75.8,The Academy
7/10/18,"Boise, ID",3rd,72.4,Troopers
7/10/18,"Boise, ID",4th,66.9,Pacific Crest
7/10/18,"Boise, ID",6th,63,Seattle Cascades
7/10/18,"Sioux City, IA",1st,78.4,Mandarins
7/10/18,"Sioux City, IA",2nd,77.6,Blue Stars
7/10/18,"Sioux City, IA",3rd,73.8,Colts
7/10/18,"Sioux City, IA",4th,67.3,Genesis
7/10/18,"Valdosta, GA",1st,82.25,Carolina Crown
7/10/18,"Valdosta, GA",2nd,79.25,The Cadets
7/10/18,"Valdosta, GA",3rd,73.25,Spirit of Atlanta
7/10/18,"Valdosta, GA",4th,63.5,Music City
7/10/18,"Valdosta, GA",5th,61,Jersey Surf
7/11/18,"Hoschton, GA",1st,84,Bluecoats
7/11/18,"Hoschton, GA",2nd,82.65,Boston Crusaders
7/11/18,"Hoschton, GA",3rd,74.05,Spirit of Atlanta
7/11/18,"Hoschton, GA",4th,64.7,Music City
7/11/18,"Hoschton, GA",5th,61.8,Jersey Surf
7/11/18,"Johnston, IA",1st,78.75,Blue Stars
7/11/18,"Johnston, IA",2nd,78.6,Mandarins
7/11/18,"Johnston, IA",3rd,77.45,Crossmen
7/11/18,"Johnston, IA",4th,74.3,Colts
7/11/18,"Johnston, IA",5th,67.45,Genesis
7/11/18,"Ogden, UT",1st,86.25,Santa Clara Vanguard
7/11/18,"Ogden, UT",2nd,78.95,Blue Knights
7/11/18,"Ogden, UT",3rd,76.5,The Academy
7/11/18,"Ogden, UT",4th,73.8,Troopers
7/11/18,"Ogden, UT",5th,67.75,Pacific Crest
7/11/18,"Ogden, UT",7th,63,Seattle Cascades
7/11/18,"Zionsville, IN",1st,84.8,Blue Devils
7/11/18,"Zionsville, IN",2nd,83.55,The Cavaliers
7/11/18,"Zionsville, IN",3rd,78.9,Phantom Regiment
7/11/18,"Zionsville, IN",4th,74.15,Madison Scouts
7/12/18,"Knoxville, TN",1st,85.3,Bluecoats
7/12/18,"Knoxville, TN",2nd,83.7,Boston Crusaders
7/12/18,"Knoxville, TN",3rd,80.7,The Cadets
7/12/18,"Knoxville, TN",4th,76.1,Spirit of Atlanta
7/12/18,"Knoxville, TN",5th,65.55,Music City
7/12/18,"Knoxville, TN",6th,62.05,Jersey Surf
7/13/18,"Casper, WY",1st,73.9,Troopers
7/13/18,"Casper, WY",2nd,68.9,Pacific Crest
7/13/18,"Casper, WY",4th,62.6,Seattle Cascades
7/14/18,"Alexandria, KY",1st,85.6,Bluecoats
7/14/18,"Alexandria, KY",2nd,84.45,Carolina Crown
7/14/18,"Alexandria, KY",3rd,76.7,Spirit of Atlanta
7/14/18,"Alexandria, KY",4th,66.9,Music City
7/14/18,"Alexandria, KY",5th,64.3,Jersey Surf
7/14/18,"DeKalb, IL",1st,86.35,Blue Devils
7/14/18,"DeKalb, IL",2nd,84.85,The Cavaliers
7/14/18,"DeKalb, IL",3rd,79.75,Blue Stars
7/14/18,"DeKalb, IL",4th,77.65,Crossmen
7/14/18,"DeKalb, IL",5th,75.7,Madison Scouts
7/14/18,"DeKalb, IL",6th,74.6,Colts
7/14/18,"Denver, CO",1st,86.65,Santa Clara Vanguard
7/14/18,"Denver, CO",2nd,79.45,Blue Knights
7/14/18,"Denver, CO",3rd,77.9,The Academy
7/14/18,"Denver, CO",4th,75.25,Troopers
7/14/18,"Denver, CO",5th,70,Pacific Crest
7/14/18,"Denver, CO",7th,62.4,Seattle Cascades
7/15/18,"St. Louis, MO",1st,87.35,Blue Devils
7/15/18,"St. Louis, MO",2nd,87.125,Bluecoats
7/15/18,"St. Louis, MO",3rd,85.925,Carolina Crown
7/15/18,"St. Louis, MO",4th,85.025,The Cavaliers
7/15/18,"St. Louis, MO",5th,84.575,Boston Crusaders
7/15/18,"St. Louis, MO",6th,82.175,The Cadets
7/15/18,"St. Louis, MO",7th,80.6,Blue Stars
7/15/18,"St. Louis, MO",8th,80.438,Phantom Regiment
7/15/18,"St. Louis, MO",9th,79.5,Mandarins
7/15/18,"St. Louis, MO",10th,77.875,Crossmen
7/15/18,"St. Louis, MO",11th,76.85,Spirit of Atlanta
7/15/18,"St. Louis, MO",12th,75.075,Madison Scouts
7/15/18,"St. Louis, MO",13th,75.05,Colts
7/15/18,"St. Louis, MO",14th,66.7,Music City
7/15/18,"St. Louis, MO",15th,65.9,Genesis
7/15/18,"St. Louis, MO",16th,63.6,Jersey Surf
7/16/18,"Bentonville, AR",1st,87.45,Carolina Crown
7/16/18,"Bentonville, AR",2nd,82.2,Phantom Regiment
7/16/18,"Bentonville, AR",3rd,80.4,Crossmen
7/16/18,"Bentonville, AR",4th,69.25,Music City
7/16/18,"Bentonville, AR",5th,65.05,Jersey Surf
7/16/18,"El Dorado, KS",1st,88,Santa Clara Vanguard
7/16/18,"El Dorado, KS",2nd,83.05,The Cadets
7/16/18,"El Dorado, KS",3rd,80.8,Blue Knights
7/16/18,"El Dorado, KS",4th,78.6,The Academy
7/16/18,"El Dorado, KS",5th,77.35,Spirit of Atlanta
7/16/18,"El Dorado, KS",6th,76.15,Madison Scouts
7/16/18,"El Dorado, KS",7th,74.9,Troopers
7/16/18,"El Dorado, KS",8th,66.7,Genesis
7/16/18,"El Dorado, KS",9th,64,Seattle Cascades
7/16/18,"Olathe, KS",1st,87.5,Bluecoats
7/16/18,"Olathe, KS",2nd,84.45,Boston Crusaders
7/16/18,"Olathe, KS",3rd,81.65,Blue Stars
7/16/18,"Olathe, KS",4th,80.5,Mandarins
7/16/18,"Olathe, KS",5th,75.425,Colts
7/16/18,"Olathe, KS",6th,69.6,Pacific Crest
7/17/18,"Broken Arrow, OK",1st,90.325,Santa Clara Vanguard
7/17/18,"Broken Arrow, OK",2nd,89.775,Blue Devils
7/17/18,"Broken Arrow, OK",3rd,89.05,Bluecoats
7/17/18,"Broken Arrow, OK",4th,86.1,The Cavaliers
7/17/18,"Broken Arrow, OK",5th,85.95,Boston Crusaders
7/17/18,"Broken Arrow, OK",6th,83.1,Blue Knights
7/17/18,"Broken Arrow, OK",7th,82.1,Phantom Regiment
7/20/18,"Katy, TX",1st,90.7,Santa Clara Vanguard
7/20/18,"Katy, TX",2nd,89.725,Bluecoats
7/20/18,"Katy, TX",3rd,89.65,Blue Devils
7/20/18,"Katy, TX",4th,88.1,Carolina Crown
7/20/18,"Katy, TX",5th,86.75,The Cavaliers
7/20/18,"Katy, TX",6th,83.6,The Cadets
7/20/18,"Katy, TX",7th,83.275,Blue Knights
7/20/18,"Katy, TX",8th,82.7,Phantom Regiment
7/20/18,"Katy, TX",9th,81.25,Crossmen
7/21/18,"San Antonio, TX",1st,92.325,Santa Clara Vanguard
7/21/18,"San Antonio, TX",2nd,90.975,Blue Devils
7/21/18,"San Antonio, TX",3rd,90.675,Bluecoats
7/21/18,"San Antonio, TX",4th,90.088,Carolina Crown
7/21/18,"San Antonio, TX",5th,88.413,The Cavaliers
7/21/18,"San Antonio, TX",6th,88.25,Boston Crusaders
7/21/18,"San Antonio, TX",7th,85.838,The Cadets
7/21/18,"San Antonio, TX",8th,84.2,Blue Knights
7/21/18,"San Antonio, TX",9th,84.012,Blue Stars
7/21/18,"San Antonio, TX",10th,83.725,Phantom Regiment
7/21/18,"San Antonio, TX",11th,82.175,Mandarins
7/21/18,"San Antonio, TX",12th,80.85,Crossmen
7/21/18,"San Antonio, TX",13th,79.725,The Academy
7/21/18,"San Antonio, TX",14th,78.188,Spirit of Atlanta
7/21/18,"San Antonio, TX",15th,77.825,Colts
7/21/18,"San Antonio, TX",16th,77.225,Madison Scouts
7/21/18,"San Antonio, TX",17th,76.05,Troopers
7/21/18,"San Antonio, TX",18th,72.175,Pacific Crest
7/21/18,"San Antonio, TX",19th,70.5,Music City
7/21/18,"San Antonio, TX",21st,67.95,Genesis
7/21/18,"San Antonio, TX",22nd,65.275,Jersey Surf
7/21/18,"San Antonio, TX",23rd,65.175,Seattle Cascades
7/23/18,"Lafayette, LA",1st,86.45,The Cadets
7/23/18,"Lafayette, LA",2nd,84.05,Blue Stars
7/23/18,"Lafayette, LA",3rd,81.35,Crossmen
7/23/18,"Lafayette, LA",4th,79.2,Colts
7/23/18,"Lafayette, LA",5th,73.8,Pacific Crest
7/23/18,"Lafayette, LA",6th,71.5,Music City
7/23/18,"Mesquite, TX",1st,92.425,Santa Clara Vanguard
7/23/18,"Mesquite, TX",2nd,91.375,Blue Devils
7/23/18,"Mesquite, TX",3rd,91.35,Bluecoats
7/23/18,"Mesquite, TX",4th,90.125,Carolina Crown
7/23/18,"Mesquite, TX",5th,88.4,The Cavaliers
7/23/18,"Mesquite, TX",6th,81.15,The Academy
7/23/18,"Mesquite, TX",7th,81,Spirit of Atlanta
7/23/18,"Mesquite, TX",8th,77.75,Troopers
7/23/18,"Mesquite, TX",9th,68.95,Genesis
7/23/18,"Mesquite, TX",10th,66.25,Seattle Cascades
7/24/18,"Mustang, OK",1st,90.7,Carolina Crown
7/24/18,"Mustang, OK",2nd,89.3,Boston Crusaders
7/24/18,"Mustang, OK",3rd,83.95,Mandarins
7/24/18,"Mustang, OK",4th,79.5,Madison Scouts
7/24/18,"Mustang, OK",5th,65.7,Jersey Surf
7/24/18,"Mustang, OK",6th,65.55,Seattle Cascades
7/25/18,"Hattiesburg, MS",1st,92.7,Santa Clara Vanguard
7/25/18,"Hattiesburg, MS",2nd,92.25,Blue Devils
7/25/18,"Hattiesburg, MS",3rd,86.4,The Cadets
7/25/18,"Hattiesburg, MS",4th,84.95,Blue Stars
7/25/18,"Hattiesburg, MS",5th,82.4,Crossmen
7/25/18,"Hattiesburg, MS",6th,81.35,The Academy
7/25/18,"Hattiesburg, MS",7th,80.1,Colts
7/25/18,"Hattiesburg, MS",8th,74.75,Pacific Crest
7/25/18,"Little Rock, AR",1st,91.725,Bluecoats
7/25/18,"Little Rock, AR",2nd,89.7,The Cavaliers
7/25/18,"Little Rock, AR",3rd,84.4,Mandarins
7/25/18,"Little Rock, AR",4th,83.05,Spirit of Atlanta
7/25/18,"Little Rock, AR",5th,80.1,Madison Scouts
7/25/18,"Little Rock, AR",6th,79.3,Troopers
7/25/18,"Little Rock, AR",7th,68,Jersey Surf
7/26/18,"Birmingham, AL",1st,87,Blue Knights
7/26/18,"Birmingham, AL",2nd,85,Phantom Regiment
7/26/18,"Birmingham, AL",3rd,84.8,Mandarins
7/26/18,"Birmingham, AL",4th,82.7,Spirit of Atlanta
7/26/18,"Birmingham, AL",5th,80.1,Troopers
7/26/18,"Birmingham, AL",6th,77.85,Pacific Crest
7/26/18,"Birmingham, AL",7th,73.6,Music City
7/26/18,"Birmingham, AL",8th,67,Seattle Cascades
7/27/18,"Dothan, AL",1st,85.55,Blue Stars
7/27/18,"Dothan, AL",2nd,83.25,Crossmen
7/27/18,"Dothan, AL",3rd,81.9,The Academy
7/27/18,"Dothan, AL",4th,81,Colts
7/27/18,"Dothan, AL",5th,80.15,Madison Scouts
7/27/18,"Dothan, AL",6th,72.2,Genesis
7/27/18,"Dothan, AL",8th,67.6,Seattle Cascades
7/27/18,"Dothan, AL",9th,67.45,Jersey Surf
7/27/18,"Murfreesboro, TN",1st,93.45,Santa Clara Vanguard
7/27/18,"Murfreesboro, TN",2nd,92.45,Blue Devils
7/27/18,"Murfreesboro, TN",3rd,92.3,Bluecoats
7/27/18,"Murfreesboro, TN",4th,91,Carolina Crown
7/27/18,"Murfreesboro, TN",5th,89.325,The Cavaliers
7/27/18,"Murfreesboro, TN",6th,89.05,Boston Crusaders
7/27/18,"Murfreesboro, TN",7th,86.55,The Cadets
7/27/18,"Murfreesboro, TN",8th,84.675,Blue Knights
7/27/18,"Murfreesboro, TN",9th,73,Music City
7/28/18,"Atlanta, GA",1st,93.675,Santa Clara Vanguard
7/28/18,"Atlanta, GA",2nd,93.25,Blue Devils
7/28/18,"Atlanta, GA",3rd,92.775,Bluecoats
7/28/18,"Atlanta, GA",4th,91.525,Carolina Crown
7/28/18,"Atlanta, GA",5th,89.975,Boston Crusaders
7/28/18,"Atlanta, GA",6th,89.925,The Cavaliers
7/28/18,"Atlanta, GA",7th,87.488,The Cadets
7/28/18,"Atlanta, GA",8th,86.25,Blue Stars
7/28/18,"Atlanta, GA",9th,85.925,Blue Knights
7/28/18,"Atlanta, GA",10th,84.65,Phantom Regiment
7/28/18,"Atlanta, GA",11th,84.55,Mandarins
7/28/18,"Atlanta, GA",12th,83.763,Crossmen
7/28/18,"Atlanta, GA",13th,83.163,Spirit of Atlanta
7/28/18,"Atlanta, GA",14th,81.5,The Academy
7/28/18,"Atlanta, GA",15th,80.325,Colts
7/28/18,"Atlanta, GA",16th,79.3,Madison Scouts
7/28/18,"Atlanta, GA",17th,78.113,Troopers
7/28/18,"Atlanta, GA",18th,76.325,Pacific Crest
7/28/18,"Atlanta, GA",19th,73.725,Music City
7/28/18,"Atlanta, GA",21st,71.125,Genesis
7/28/18,"Atlanta, GA",22nd,68.8,Seattle Cascades
7/28/18,"Atlanta, GA",23rd,67.275,Jersey Surf
7/29/18,"Winston-Salem, NC",1st,93.75,Santa Clara Vanguard
7/29/18,"Winston-Salem, NC",2nd,93.175,Blue Devils
7/29/18,"Winston-Salem, NC",3rd,91.625,Bluecoats
7/29/18,"Winston-Salem, NC",4th,91.55,Carolina Crown
7/29/18,"Winston-Salem, NC",5th,90.375,Boston Crusaders
7/29/18,"Winston-Salem, NC",6th,88.925,The Cavaliers
7/29/18,"Winston-Salem, NC",7th,85.7,The Cadets
7/29/18,"Winston-Salem, NC",8th,83.45,Phantom Regiment
7/30/18,"Centerville, OH",1st,92.725,Bluecoats
7/30/18,"Centerville, OH",2nd,90.15,The Cavaliers
7/30/18,"Centerville, OH",3rd,85.9,Blue Knights
7/30/18,"Centerville, OH",4th,83.125,Spirit of Atlanta
7/30/18,"Centerville, OH",5th,81.85,The Academy
7/30/18,"Centerville, OH",6th,74.85,Music City
7/30/18,"Centerville, OH",7th,70.05,Seattle Cascades
7/30/18,"Charleston, WV",1st,86.85,Blue Stars
7/30/18,"Charleston, WV",2nd,85.45,Phantom Regiment
7/30/18,"Charleston, WV",3rd,82.35,Colts
7/30/18,"Charleston, WV",4th,79.65,Madison Scouts
7/30/18,"Charleston, WV",5th,77.95,Troopers
7/31/18,"Annapolis, MD",1st,94.075,Blue Devils
7/31/18,"Annapolis, MD",2nd,87.825,The Cadets
7/31/18,"Annapolis, MD",3rd,85.55,Mandarins
7/31/18,"Annapolis, MD",4th,84.325,Crossmen
7/31/18,"Annapolis, MD",5th,82.175,Colts
7/31/18,"Annapolis, MD",6th,76.75,Pacific Crest
7/31/18,"Annapolis, MD",7th,68.95,Jersey Surf
8/1/18,"Chester, PA",1st,95.1,Santa Clara Vanguard
8/1/18,"Chester, PA",2nd,93.15,Bluecoats
8/1/18,"Chester, PA",3rd,92.35,Carolina Crown
8/1/18,"Chester, PA",4th,90.55,The Cavaliers
8/1/18,"Chester, PA",5th,90.5,Boston Crusaders
8/1/18,"Chester, PA",6th,87.9,The Cadets
8/1/18,"Chester, PA",7th,85.7,Blue Knights
8/1/18,"Chester, PA",8th,84.95,Phantom Regiment
8/2/18,"Rome, NY",1st,87.05,Blue Stars
8/2/18,"Rome, NY",2nd,84,The Academy
8/2/18,"Rome, NY",3rd,83.3,Spirit of Atlanta
8/2/18,"Rome, NY",4th,80.75,Madison Scouts
8/2/18,"Rome, NY",5th,80,Troopers
8/2/18,"Rome, NY",7th,67.35,Jersey Surf
8/3/18,"Allentown, PA",1st,82.4,Colts
8/3/18,"Allentown, PA",2nd,81.275,Madison Scouts
8/3/18,"Allentown, PA",3rd,79.375,Troopers
8/3/18,"Allentown, PA",4th,74.625,Music City
8/3/18,"Allentown, PA",5th,68.775,Seattle Cascades
8/4/18,"Allentown, PA",1st,93.363,Carolina Crown
8/4/18,"Allentown, PA",2nd,92.25,Boston Crusaders
8/4/18,"Allentown, PA",3rd,91.625,The Cavaliers
8/4/18,"Allentown, PA",4th,90.025,The Cadets
8/4/18,"Allentown, PA",5th,87.4,Blue Knights
8/4/18,"Allentown, PA",6th,85.775,Crossmen
8/4/18,"Allentown, PA",7th,84.4,Spirit of Atlanta
8/4/18,"Allentown, PA",8th,83.838,The Academy
8/4/18,"Allentown, PA",9th,77.163,Pacific Crest
8/4/18,"Allentown, PA",11th,72.838,Genesis
8/4/18,"Allentown, PA",12th,70.175,Jersey Surf
8/5/18,"Buffalo, NY",1st,95.35,Blue Devils
8/5/18,"Buffalo, NY",2nd,94.2,Bluecoats
8/5/18,"Buffalo, NY",3rd,92.35,The Cavaliers
8/5/18,"Buffalo, NY",4th,92.3,Boston Crusaders
8/5/18,"Buffalo, NY",5th,87.95,Blue Knights
8/5/18,"Buffalo, NY",6th,87.45,Blue Stars
8/5/18,"Buffalo, NY",7th,87.15,Mandarins
8/5/18,"Buffalo, NY",8th,83.85,The Academy
8/5/18,"Buffalo, NY",9th,83.2,Colts
8/5/18,"Buffalo, NY",10th,81.45,Madison Scouts
8/5/18,"Pittsburgh, PA",1st,94.35,Carolina Crown
8/5/18,"Pittsburgh, PA",2nd,84.55,Spirit of Atlanta
8/5/18,"Pittsburgh, PA",3rd,80.9,Troopers
8/5/18,"Pittsburgh, PA",4th,78.075,Pacific Crest
8/5/18,"Pittsburgh, PA",6th,70.6,Seattle Cascades
8/6/18,"Erie, PA",1st,91.3,The Cadets
8/6/18,"Erie, PA",2nd,87.75,Phantom Regiment
8/6/18,"Erie, PA",3rd,83.15,Colts
8/6/18,"Erie, PA",4th,75.4,Music City
8/6/18,"Erie, PA",6th,73.625,Genesis
8/6/18,"Erie, PA",7th,71.55,Seattle Cascades
8/6/18,"Erie, PA",8th,70.3,Jersey Surf
8/6/18,"Massillon, OH",1st,96.3,Santa Clara Vanguard
8/6/18,"Massillon, OH",2nd,94.825,Bluecoats
8/6/18,"Massillon, OH",3rd,93.8,Carolina Crown
8/6/18,"Massillon, OH",4th,92.9,Boston Crusaders
8/6/18,"Massillon, OH",5th,91.95,The Cavaliers
8/6/18,"Massillon, OH",6th,87.1,Blue Knights
8/6/18,"Massillon, OH",7th,86.95,Mandarins
8/6/18,"Massillon, OH",8th,85.8,Crossmen
8/9/18,"Indianapolis, IN",1st,96.8,Santa Clara Vanguard
8/9/18,"Indianapolis, IN",2nd,95.963,Blue Devils
8/9/18,"Indianapolis, IN",3rd,95.213,Bluecoats
8/9/18,"Indianapolis, IN",4th,94.263,Carolina Crown
8/9/18,"Indianapolis, IN",5th,92.863,Boston Crusaders
8/9/18,"Indianapolis, IN",6th,92.688,The Cavaliers
8/9/18,"Indianapolis, IN",7th,91.15,The Cadets
8/9/18,"Indianapolis, IN",8th,89.025,Blue Stars
8/9/18,"Indianapolis, IN",9th,87.713,Blue Knights
8/9/18,"Indianapolis, IN",10th,87.15,Phantom Regiment
8/9/18,"Indianapolis, IN",11th,86.775,Mandarins
8/9/18,"Indianapolis, IN",12th,86.425,Crossmen
8/9/18,"Indianapolis, IN",13th,85.175,Spirit of Atlanta
8/9/18,"Indianapolis, IN",14th,84.413,The Academy
8/9/18,"Indianapolis, IN",15th,84.125,Colts
8/9/18,"Indianapolis, IN",16th,82.7,Madison Scouts
8/9/18,"Indianapolis, IN",18th,81.3,Troopers
8/9/18,"Indianapolis, IN",20th,79.1,Pacific Crest
8/9/18,"Indianapolis, IN",21st,77.863,Music City
8/9/18,"Indianapolis, IN",24th,75.4,Genesis
8/9/18,"Indianapolis, IN",27th,71.963,Seattle Cascades
8/9/18,"Indianapolis, IN",30th,69.925,Jersey Surf
8/10/18,"Indianapolis, IN",1st,98.263,Santa Clara Vanguard
8/10/18,"Indianapolis, IN",2nd,96.75,Blue Devils
8/10/18,"Indianapolis, IN",3rd,96.588,Bluecoats
8/10/18,"Indianapolis, IN",4th,95.475,Carolina Crown
8/10/18,"Indianapolis, IN",5th,94.588,Boston Crusaders
8/10/18,"Indianapolis, IN",6th,93.538,The Cavaliers
8/10/18,"Indianapolis, IN",7th,91.863,The Cadets
8/10/18,"Indianapolis, IN",8th,90.475,Blue Stars
8/10/18,"Indianapolis, IN",9th,89.038,Blue Knights
8/10/18,"Indianapolis, IN",10th,88.663,Mandarins
8/10/18,"Indianapolis, IN",11th,87.7,Phantom Regiment
8/10/18,"Indianapolis, IN",12th,87.25,Crossmen
8/10/18,"Indianapolis, IN",13th,85.588,Spirit of Atlanta
8/10/18,"Indianapolis, IN",14th,84.613,Colts
8/10/18,"Indianapolis, IN",15th,84.563,The Academy
8/10/18,"Indianapolis, IN",16th,82.988,Madison Scouts
8/10/18,"Indianapolis, IN",17th,81.788,Troopers
8/10/18,"Indianapolis, IN",20th,79.3,Pacific Crest
8/10/18,"Indianapolis, IN",21st,78.175,Music City
8/10/18,"Indianapolis, IN",24th,74.475,Genesis
8/11/18,"Indianapolis, IN",1st,98.625,Santa Clara Vanguard
8/11/18,"Indianapolis, IN",2nd,97.35,Blue Devils
8/11/18,"Indianapolis, IN",3rd,96.95,Bluecoats
8/11/18,"Indianapolis, IN",4th,95.5,Carolina Crown
8/11/18,"Indianapolis, IN",5th,94.313,Boston Crusaders
8/11/18,"Indianapolis, IN",6th,93.213,The Cavaliers
8/11/18,"Indianapolis, IN",7th,92.225,The Cadets
8/11/18,"Indianapolis, IN",8th,90.05,Blue Stars
8/11/18,"Indianapolis, IN",9th,88.925,Blue Knights
8/11/18,"Indianapolis, IN",10th,88.15,Mandarins
8/11/18,"Indianapolis, IN",11th,86.95,Phantom Regiment
8/11/18,"Indianapolis, IN",12th,86.75,Crossmen
6/20/19,"Detroit, MI",1st,71.15,Bluecoats
6/20/19,"Detroit, MI",2nd,70.9,Carolina Crown
6/20/19,"Detroit, MI",3rd,70.05,Boston Crusaders
6/20/19,"Detroit, MI",4th,67.1,The Cadets
6/20/19,"Detroit, MI",5th,65.45,Blue Stars
6/20/19,"Detroit, MI",6th,63.25,Phantom Regiment
6/21/19,"Clovis, CA",1st,72.35,Santa Clara Vanguard
6/21/19,"Clovis, CA",2nd,71.7,Blue Devils
6/21/19,"Clovis, CA",3rd,70.2,The Cavaliers
6/21/19,"Clovis, CA",4th,67.1,Mandarins
6/21/19,"Clovis, CA",5th,64.6,The Academy
6/21/19,"Clovis, CA",6th,60.45,Troopers
6/22/19,"Madison, WI",1st,72.65,Carolina Crown
6/22/19,"Madison, WI",2nd,66.9,Blue Stars
6/22/19,"Madison, WI",3rd,64.05,Crossmen
6/22/19,"Madison, WI",4th,63,Madison Scouts
6/22/19,"Madison, WI",5th,61.9,Colts
6/22/19,"North Canton, OH",1st,71.85,Bluecoats
6/22/19,"North Canton, OH",2nd,70.7,Boston Crusaders
6/22/19,"North Canton, OH",3rd,67.2,The Cadets
6/22/19,"North Canton, OH",4th,63.5,Phantom Regiment
6/22/19,"Stanford, CA",1st,73,Santa Clara Vanguard
6/22/19,"Stanford, CA",2nd,72.35,Blue Devils
6/22/19,"Stanford, CA",3rd,71,The Cavaliers
6/22/19,"Stanford, CA",4th,67.85,Mandarins
6/22/19,"Stanford, CA",5th,64.95,The Academy
6/22/19,"Stanford, CA",6th,61.45,Troopers
6/23/19,"Sacramento, CA",1st,74.3,Santa Clara Vanguard
6/23/19,"Sacramento, CA",2nd,73.9,Blue Devils
6/23/19,"Sacramento, CA",3rd,72.1,The Cavaliers
